id,m,p,n
1288.0,0.8323961644145458,0.14893617021276595,235.0
1289.0,1.041433398734622,0.060085836909871244,233.0
1290.0,0.8615697482013362,0.1474820143884892,278.0
1291.0,0.6438359908858045,0.21264367816091953,174.0
1292.0,-0.7257764734357037,0.7630662020905923,574.0
1293.0,0.9191087469769529,0.07534246575342465,146.0
1294.0,-0.004461836349891479,0.5018315018315018,273.0
1295.0,1.1027043723773435,0.0676056338028169,355.0
1296.0,-0.2747900852663492,0.6070460704607046,369.0
1297.0,0.9948963335897968,0.0931899641577061,279.0
1298.0,0.5944032988986094,0.2196969696969697,132.0
1299.0,0.741562021521675,0.20317460317460317,315.0
1300.0,0.8924393099745094,0.0915032679738562,153.0
1301.0,1.3760242239097193,0.0,565.0
1302.0,-0.389197046444379,0.6398026315789473,608.0
1303.0,1.1056098666158698,0.06989247311827956,372.0
1305.0,-0.42999283845699526,0.6719242902208202,317.0
1306.0,0.8354727033823702,0.13793103448275862,203.0
1307.0,1.0134983114300198,0.07017543859649122,228.0
1309.0,0.9024967624823172,0.12083333333333333,240.0
1310.0,0.695513660273537,0.23015873015873015,378.0
1311.0,0.94863365932928,0.10084033613445378,238.0
1313.0,0.8844594316740565,0.1134020618556701,194.0
1314.0,0.5844435869918068,0.25112107623318386,223.0
1315.0,-0.5278976088593482,0.7067039106145251,358.0
1316.0,-0.0846646862804947,0.546875,64.0
1317.0,0.6702759816358711,0.239247311827957,372.0
1318.0,1.0552948551496244,0.0,129.0
1319.0,1.0965622991772308,0.0,156.0
1321.0,0.41303001208676154,0.24390243902439024,41.0
1322.0,0.8,0.1,100.0
1323.0,0.3774438023414501,0.32,125.0
1324.0,0.7612359947967775,0.1,80.0
1325.0,0.9097719677709344,0.0,66.0
1326.0,0.9397315306461231,0.06338028169014084,142.0
1327.0,-0.4266913019341061,0.7142857142857143,98.0
1328.0,0.06104549886448622,0.47058823529411764,119.0
1329.0,0.3454167682323716,0.32653061224489793,98.0
1330.0,0.662762057659393,0.22968197879858657,283.0
1331.0,1.0613784473702397,0.06896551724137931,290.0
1332.0,1.189588840463061,0.05387931034482758,464.0
1333.0,-0.4727457314529812,0.6855524079320113,353.0
1334.0,1.327569217405691,0.0,452.0
1335.0,0.8477969631830422,0.15037593984962405,266.0
1337.0,-0.35182241114754703,0.6338028169014085,426.0
1338.0,1.395494237544408,0.0,618.0
1339.0,0.32063189296960015,0.3810483870967742,496.0
1340.0,-0.012762485343290844,0.5068493150684932,73.0
1341.0,0.8575679519206548,0.10897435897435898,156.0
1342.0,1.0685235149168935,0.10905730129390019,541.0
1344.0,0.5575137842923786,0.21875,96.0
1345.0,1.179068296519844,0.05429864253393665,442.0
1346.0,0.7612359947967775,0.1,80.0
1347.0,-0.9046268118605151,0.8407079646017699,452.0
1348.0,0.5045883417670758,0.30423280423280424,378.0
1349.0,0.6490959281504595,0.140625,64.0
1350.0,0.9030222211789688,0.1608695652173913,460.0
1351.0,0.8167342277897933,0.0,43.0
1352.0,1.302113026542235,0.0,402.0
1353.0,1.0115084272161337,0.12210526315789473,475.0
1354.0,1.4879455682008964,0.0,946.0
1355.0,0.40879880511838,0.3008849557522124,113.0
1356.0,1.1079912327537693,0.05501618122977346,309.0
1357.0,-0.01899381925092546,0.5116279069767442,43.0
1358.0,1.0072491507146413,0.07142857142857142,224.0
1359.0,0.24169767252946345,0.40703517587939697,398.0
1360.0,0.12072829143060816,0.42857142857142855,49.0
1361.0,1.1485339868426363,0.05027932960893855,358.0
1362.0,0.5791418922457255,0.2543859649122807,228.0
1363.0,1.1129244810997283,0.09340659340659341,546.0
1364.0,1.2251245541596805,0.0,282.0
1365.0,0.9260148664507902,0.056910569105691054,123.0
1366.0,0.6605663925378118,0.1518987341772152,79.0
1367.0,0.8235516591341853,0.1414141414141414,198.0
1368.0,0.5024343041707787,0.19047619047619047,42.0
1369.0,0.2519506015758799,0.4055793991416309,466.0
1370.0,0.3850403338260052,0.27450980392156865,51.0
1371.0,0.6020599913279624,0.0,16.0
1372.0,1.202416858309969,0.0,254.0
1373.0,0.8701813447471219,0.0,55.0
1374.0,1.3944375578877084,0.0,615.0
1375.0,-0.5883789428747987,0.7121212121212122,594.0
1376.0,0.48929525586457595,0.29411764705882354,238.0
1377.0,0.25212916741234753,0.375,104.0
1378.0,1.3236914850573098,0.0,444.0
1379.0,0.3377751037782346,0.37681159420289856,552.0
1380.0,0.6967653898286906,0.23459715639810427,422.0
1381.0,0.6095459525303037,0.14814814814814814,54.0
1383.0,0.4225490200071284,0.0,7.0
1385.0,1.0226891266196796,0.10215053763440861,372.0
1397.0,0.9245745704744115,0.07042253521126761,142.0
1401.0,0.64692281626891,0.16470588235294117,85.0
1402.0,0.5842187358755196,0.2532188841201717,233.0
1405.0,0.8949041443220193,0.15776699029126215,412.0
1417.0,0.4490167992833788,0.2696629213483146,89.0
1421.0,0.5013057678071883,0.2936802973977695,269.0
1423.0,0.5507531332014804,0.15384615384615385,39.0
1433.0,0.5880456295278407,0.0,15.0
1451.0,-0.10595957595047259,0.5675675675675675,37.0
1470.0,0.47712125471966244,0.0,9.0
1476.0,0.8737012372936457,0.061224489795918366,98.0
1496.0,0.6020599913279624,0.0,16.0
1512.0,0.5175792156418522,0.125,24.0
1520.0,0.37807388811868436,0.29577464788732394,71.0
2818.0,0.9715831353661409,0.14545454545454545,550.0
2820.0,-0.06436118789737431,0.5275229357798165,218.0
2830.0,1.0040408220217172,0.13221601489757914,537.0
2831.0,0.977462513081833,0.08444444444444445,225.0
2832.0,1.1333990583164812,0.07910750507099391,493.0
2834.0,0.9881326795622225,0.10703363914373089,327.0
2835.0,0.6620298707842417,0.2260536398467433,261.0
2842.0,0.04843094475722176,0.481651376146789,436.0
2847.0,0.37875390993319846,0.3475409836065574,305.0
2851.0,-0.10369547496182076,0.5383104125736738,509.0
2879.0,1.0813020030974423,0.10676156583629894,562.0
2909.0,1.137214551584146,0.06403940886699508,406.0
2929.0,1.0142489103890602,0.11617312072892938,439.0
2930.0,1.0387256866744736,0.05803571428571429,224.0
3652.0,0.5880456295278407,0.0,15.0
3663.0,0.5880456295278407,0.0,15.0
3666.0,0.5123045056675454,0.25,112.0
3668.0,0.6449071168164127,0.1527777777777778,72.0
3671.0,0.5491729148818115,0.09090909090909091,22.0
3674.0,0.36673136502052683,0.3253968253968254,126.0
3677.0,0.3988702042694339,0.2558139534883721,43.0
3680.0,-0.1602059991327962,0.6,40.0
3684.0,0.2667137200149286,0.373015873015873,126.0
3686.0,0.7235790156711096,0.0,28.0
3687.0,0.23856062735983122,0.0,3.0
3688.0,0.6543340217770068,0.17757009345794392,107.0
3689.0,0.9915074259641389,0.05747126436781609,174.0
3691.0,0.9404067961403957,0.0,76.0
3692.0,0.5880456295278407,0.0,15.0
3693.0,0.1505149978319906,0.0,2.0
3695.0,0.42863389593590095,0.20689655172413793,29.0
3696.0,0.6997435470097262,0.1111111111111111,63.0
3699.0,0.573064017839119,0.0,14.0
3700.0,0.3010299956639812,0.0,4.0
3701.0,0.5395906230238124,0.0,12.0
3702.0,0.2032832257271868,0.4017094017094017,117.0
3703.0,1.1215190243431472,0.0,175.0
3705.0,0.8854260058210721,0.0,59.0
3706.0,0.5923064322944139,0.20754716981132076,106.0
3707.0,0.3010299956639812,0.0,4.0
3708.0,0.5238081026559924,0.21212121212121213,66.0
3710.0,0.8830920904289861,0.0594059405940594,101.0
3711.0,0.6989700043360189,0.0,25.0
3712.0,0.8531172569230848,0.09448818897637795,127.0
3713.0,0.8750017107387608,0.07692307692307693,117.0
3714.0,0.8434025582748743,0.07920792079207921,101.0
3715.0,1.0021606868913213,0.0,101.0
3716.0,0.4930247562121626,0.2318840579710145,69.0
3717.0,1.0105946495349691,0.0,105.0
3718.0,1.2385606273598313,0.0,300.0
3721.0,0.6611096473669597,0.0,21.0
3722.0,0.8111297547731642,0.08695652173913043,92.0
3723.0,0.8512142319327762,0.058823529411764705,85.0
3724.0,0.06101921276464575,0.45454545454545453,22.0
3725.0,0.3259257656195555,0.323943661971831,71.0
3726.0,0.20707008271062102,0.36363636363636365,33.0
3727.0,-0.04390155331993695,0.5245901639344263,61.0
3728.0,0.7006651725053257,0.11764705882352941,68.0
3729.0,1.0979498262046168,0.0,157.0
3730.0,0.5921728749444137,0.21367521367521367,117.0
3731.0,0.9225490200071285,0.0,70.0
3732.0,0.8372396754404478,0.15234375,256.0
3733.0,0.7687059972351008,0.16129032258064516,186.0
3734.0,0.6611096473669597,0.0,21.0
3735.0,0.6505149978319906,0.0,20.0
3736.0,0.9313774133547327,0.08522727272727272,176.0
3737.0,0.5601406397220635,0.2073170731707317,82.0
3738.0,0.3634644022547298,0.24,25.0
3739.0,1.0105946495349691,0.0,105.0
3740.0,0.712523280088846,0.12,75.0
3741.0,0.9186709843977989,0.07894736842105263,152.0
3742.0,0.8512142319327762,0.058823529411764705,85.0
3743.0,0.9865260764132032,0.06486486486486487,185.0
3744.0,0.6393768004764144,0.0,19.0
3745.0,0.4497049887248304,0.2537313432835821,67.0
3746.0,0.7027713122842407,0.06976744186046512,43.0
3747.0,0.6042243934108683,0.1958762886597938,97.0
3748.0,0.7684387150482608,0.10869565217391304,92.0
3749.0,0.6494639634439574,0.06451612903225806,31.0
3750.0,0.3850403338260052,0.27450980392156865,51.0
3751.0,0.8364347922245934,0.06172839506172839,81.0
3752.0,1.0467108425811176,0.0,124.0
3753.0,0.34948500216800943,0.0,5.0
3754.0,0.02650673637331462,0.48148148148148145,27.0
3755.0,0.32653231107018876,0.2692307692307692,26.0
3756.0,-0.09365293001818936,0.5535714285714286,56.0
3757.0,0.6152244606891369,0.0,17.0
3758.0,0.8563904941463746,0.05,80.0
3759.0,1.0126529326323852,0.0,106.0
3760.0,0.9049151385900643,0.06086956521739131,115.0
3761.0,0.5743118404480857,0.1917808219178082,73.0
3762.0,1.0431799153373742,0.0,122.0
3763.0,1.2212398845322243,0.0,277.0
3764.0,0.573064017839119,0.0,14.0
3765.0,0.45154499349597177,0.0,8.0
3766.0,0.8128245980795114,0.057971014492753624,69.0
3767.0,0.6989700043360189,0.0,25.0
3768.0,0.36688030721547704,0.296875,64.0
3769.0,1.065166884247503,0.0,135.0
3770.0,0.4553108758814726,0.2846153846153846,130.0
3771.0,0.05120545706871769,0.4742268041237113,97.0
3772.0,0.5532470799707786,0.12903225806451613,31.0
3773.0,0.9865639267998493,0.0,94.0
3774.0,0.4901294087804737,0.2361111111111111,72.0
3775.0,0.8661968799114843,0.0,54.0
3776.0,0.7156818820794937,0.0,27.0
3777.0,0.483011640580399,0.24691358024691357,81.0
3778.0,0.6020599913279624,0.0,16.0
3779.0,0.34948500216800943,0.0,5.0
3780.0,0.8217263382430937,0.0,44.0
3781.0,0.09327495387797673,0.4492753623188406,69.0
3782.0,1.0821764278922186,0.0,146.0
3783.0,0.8965328849182044,0.0625,112.0
3784.0,0.8063919283598677,0.0,41.0
3785.0,1.018713248970312,0.0,109.0
3786.0,0.8538207944980675,0.06521739130434782,92.0
3787.0,0.7519863164539089,0.10256410256410256,78.0
3788.0,0.010241091413743493,0.4948453608247423,97.0
3789.0,0.37889832156708975,0.2972972972972973,74.0
3790.0,0.7408160049543288,0.1484375,128.0
3791.0,0.27735134442911236,0.3103448275862069,29.0
3792.0,0.6323461899720703,0.10256410256410256,39.0
3793.0,0.8184758492724299,0.11971830985915492,142.0
3794.0,1.0699395432006182,0.0,138.0
3795.0,0.5624528018333536,0.08695652173913043,23.0
3796.0,0.45154499349597177,0.0,8.0
3797.0,0.6393768004764144,0.0,19.0
3798.0,0.627636252551653,0.0,18.0
3799.0,0.8359996778528528,0.06896551724137931,87.0
3800.0,0.5206963425791125,0.0,11.0
3801.0,0.9230316594212353,0.10144927536231885,207.0
3802.0,0.9888618026444239,0.0,95.0
3803.0,1.2326914257242092,0.0,292.0
3804.0,0.8270706589607896,0.08823529411764706,102.0
3805.0,0.8168717662613425,0.07317073170731707,82.0
3806.0,1.123546378024564,0.05246913580246913,324.0
3807.0,0.9865639267998493,0.0,94.0
3808.0,0.47553687523444893,0.19444444444444445,36.0
3809.0,0.8487897696158533,0.1056338028169014,142.0
3810.0,0.9888618026444239,0.0,95.0
3811.0,0.34339407673336086,0.30357142857142855,56.0
3812.0,0.8085131923452406,0.10619469026548672,113.0
3813.0,0.45154499349597177,0.0,8.0
3814.0,0.9842414742769675,0.0,93.0
3815.0,0.6020599913279624,0.0,16.0
3816.0,0.6916900003410166,0.05555555555555555,36.0
3817.0,0.8285151857479023,0.07058823529411765,85.0
3818.0,0.6847578325088981,0.20297029702970298,202.0
3819.0,1.2172844520170993,0.0,272.0
3820.0,0.3064595971471276,0.3543307086614173,127.0
3821.0,0.8854260058210721,0.0,59.0
3822.0,0.6667442245102039,0.16129032258064516,93.0
3823.0,0.40109142537810427,0.31543624161073824,149.0
3824.0,0.630343964611619,0.06896551724137931,29.0
3825.0,0.5015998067117116,0.2413793103448276,87.0
3826.0,0.22438090611912168,0.358974358974359,39.0
3827.0,0.9404067961403957,0.0,76.0
3828.0,0.6712113404111031,0.0,22.0
3829.0,0.5750880173798358,0.08333333333333333,24.0
3830.0,0.45154499349597177,0.0,8.0
3831.0,0.7796960729224237,0.167420814479638,221.0
3832.0,0.23362033972523397,0.3916083916083916,143.0
3833.0,0.707486673985409,0.0,26.0
3834.0,0.8452458443954626,0.05194805194805195,77.0
3835.0,0.6677437711368693,0.13432835820895522,67.0
3836.0,-0.05644312418699647,0.53125,64.0
3837.0,0.9722413360750843,0.0,88.0
3838.0,0.9818939136727777,0.0,92.0
3839.0,0.9487574162342738,0.06164383561643835,146.0
3840.0,0.6611096473669597,0.0,21.0
3841.0,0.9142527656715125,0.064,125.0
3842.0,-0.2770348299108938,0.6177777777777778,225.0
3843.0,1.2745016310128938,0.0,354.0
3844.0,0.8854260058210721,0.0,59.0
3845.0,0.8063919283598677,0.0,41.0
3846.0,1.2477721687732242,0.0,313.0
3847.0,0.5880456295278407,0.0,15.0
3848.0,0.39421908244551457,0.312,125.0
3849.0,0.3890756251918218,0.0,6.0
3850.0,1.2172844520170993,0.0,272.0
3851.0,0.7192257454708513,0.16030534351145037,131.0
3852.0,0.5351840002494436,0.09523809523809523,21.0
3853.0,0.573064017839119,0.0,14.0
3854.0,0.6589635857193775,0.14285714285714285,70.0
3855.0,1.1487776604417412,0.06067961165048544,412.0
3856.0,0.7996848248523518,0.06944444444444445,72.0
